observation_date,MRTSSM44814USN
1992-01-01,1649
1992-02-01,1864
1992-03-01,2152
1992-04-01,2438
1992-05-01,2412
1992-06-01,2516
1992-07-01,2653
1992-08-01,3046
1992-09-01,2687
1992-10-01,2993
1992-11-01,3399
1992-12-01,5337
1993-01-01,1943
1993-02-01,1992
1993-03-01,2414
1993-04-01,2686
1993-05-01,2650
1993-06-01,2616
1993-07-01,2772
1993-08-01,3051
1993-09-01,2813
1993-10-01,3084
1993-11-01,3705
1993-12-01,5571
1994-01-01,1996
1994-02-01,2126
1994-03-01,2875
1994-04-01,2806
1994-05-01,2782
1994-06-01,2875
1994-07-01,2968
1994-08-01,3353
1994-09-01,3028
1994-10-01,3313
1994-11-01,3975
1994-12-01,6006
1995-01-01,2194
1995-02-01,2266
1995-03-01,2901
1995-04-01,2959
1995-05-01,2958
1995-06-01,3061
1995-07-01,3006
1995-08-01,3488
1995-09-01,3320
1995-10-01,3290
1995-11-01,4292
1995-12-01,6264
1996-01-01,2262
1996-02-01,2627
1996-03-01,3194
1996-04-01,3175
1996-05-01,3275
1996-06-01,3155
1996-07-01,3192
1996-08-01,3851
1996-09-01,3333
1996-10-01,3659
1996-11-01,4339
1996-12-01,6197
1997-01-01,2487
1997-02-01,2542
1997-03-01,3396
1997-04-01,3144
1997-05-01,3539
1997-06-01,3404
1997-07-01,3588
1997-08-01,4202
1997-09-01,3558
1997-10-01,3973
1997-11-01,4708
1997-12-01,6702
1998-01-01,2769
1998-02-01,2875
1998-03-01,3563
1998-04-01,3821
1998-05-01,3896
1998-06-01,3788
1998-07-01,4054
1998-08-01,4534
1998-09-01,3793
1998-10-01,4433
1998-11-01,5181
1998-12-01,7447
1999-01-01,3062
1999-02-01,3253
1999-03-01,4101
1999-04-01,4152
1999-05-01,4375
1999-06-01,4182
1999-07-01,4476
1999-08-01,4926
1999-09-01,4389
1999-10-01,4724
1999-11-01,5528
1999-12-01,8150
2000-01-01,3272
2000-02-01,3627
2000-03-01,4460
2000-04-01,4525
2000-05-01,4577
2000-06-01,4527
2000-07-01,4437
2000-08-01,5183
2000-09-01,4672
2000-10-01,4859
2000-11-01,6082
2000-12-01,8692
2001-01-01,3444
2001-02-01,3748
2001-03-01,4575
2001-04-01,4750
2001-05-01,4768
2001-06-01,4651
2001-07-01,4663
2001-08-01,5384
2001-09-01,4462
2001-10-01,4918
2001-11-01,5942
2001-12-01,8845
2002-01-01,3594
2002-02-01,3849
2002-03-01,5054
2002-04-01,4725
2002-05-01,4980
2002-06-01,4952
2002-07-01,5033
2002-08-01,5841
2002-09-01,4700
2002-10-01,5638
2002-11-01,6529
2002-12-01,9394
2003-01-01,3915
2003-02-01,3937
2003-03-01,5058
2003-04-01,5076
2003-05-01,5435
2003-06-01,5157
2003-07-01,5491
2003-08-01,5979
2003-09-01,5218
2003-10-01,5747
2003-11-01,6738
2003-12-01,9743
